Categories:
1. អេឡិចត្រូនិច
2. ផ្ទះ
3. ផ្ទះបាយ
4. គ្រឿងសង្ហារឹម
5. ក្មេងលេង
6. សម្អាង
7. ការិយាល័យ
8. កីឡា
9. សៀវភៅ
10. សត្វចិញ្ចឹម

Products:
# Format: Product Name | Category | Price | Quantity | Image
ទូរស័ព្ទដៃ | អេឡិចត្រូនិច | 59.99 | 10 | electronics-1.jpg
កុំព្យូទ័រយួរ | អេឡិចត្រូនិច | 129.99 | 15 | electronics-2.jpg
កាមេរ៉ា | អេឡិចត្រូនិច | 24.50 | 20 | electronics-3.jpg
ទូរទស្សន៍ | អេឡិចត្រូនិច | 499.99 | 25 | electronics-4.jpg
គ្រឿងស្តាប់តន្ត្រី | អេឡិចត្រូនិច | 89.00 | 30 | electronics-5.jpg
កាសប៊្លូធូស | អេឡិចត្រូនិច | 15.99 | 35 | electronics-6.jpg
ម៉ាស៊ីនបោះពុម្ព | អេឡិចត្រូនិច | 9.99 | 40 | electronics-7.jpg
ឧបករណ៍បញ្ចាក់ទឹក | អេឡិចត្រូនិច | 35.00 | 45 | electronics-8.jpg
ម៉ោងដៃឆ្លាត | អេឡិចត្រូនិច | 220.00 | 50 | electronics-9.jpg
ម៉ាស៊ីនម៉ាញ | អេឡិចត្រូនិច | 79.99 | 55 | electronics-10.jpg
កន្ទុយភ្លើង | ផ្ទះ | 12.50 | 10 | home-1.jpg
ថាវជ័រ | ផ្ទះ | 19.99 | 15 | home-2.jpg
ពូកគ្រែ | ផ្ទះ | 45.00 | 20 | home-3.jpg
ដុំខ្នើយ | ផ្ទះ | 270.00 | 25 | home-4.jpg
ទូរទឹកកក | ផ្ទះ | 125.00 | 30 | home-5.jpg
ម៉ាស៊ីនងូតទឹក | ផ្ទះ | 8.99 | 35 | home-6.jpg
ទូរសោ | ផ្ទះ | 18.00 | 40 | home-7.jpg
កង្ហារទឹក | ផ្ទះ | 29.99 | 45 | home-8.jpg
សាឡុងសម្រាក | ផ្ទះ | 55.00 | 50 | home-9.jpg
តុអាហារ | ផ្ទះ | 14.50 | 55 | home-10.jpg
ចានស៊ី | ផ្ទះបាយ | 75.00 | 10 | kitchen-1.jpg
ស្លាបព្រា | ផ្ទះបាយ | 39.99 | 15 | kitchen-2.jpg
កំភួនខ្ទុះ | ផ្ទះបាយ | 89.99 | 20 | kitchen-3.jpg
ម៉ាស៊ីនកូអាហារ | ផ្ទះបាយ | 60.00 | 25 | kitchen-4.jpg
ក្រឡុកបាយ | ផ្ទះបាយ | 150.00 | 30 | kitchen-5.jpg
ធុងស្តុក | ផ្ទះបាយ | 48.50 | 35 | kitchen-6.jpg
សំបកកាហ្វេ | ផ្ទះបាយ | 34.00 | 40 | kitchen-7.jpg
ក្រណាត់សម្ងួត | ផ្ទះបាយ | 19.00 | 45 | kitchen-8.jpg
ប្រដាប់កត្តី | ផ្ទះបាយ | 27.00 | 50 | kitchen-9.jpg
ឃ្លាតរុក្ខជាតិ | ផ្ទះបាយ | 99.99 | 55 | kitchen-10.jpg
គ្រែស្បែក | គ្រឿងសង្ហារឹម | 210.00 | 10 | furniture-1.jpg
ថាសបរិច្ឆេទ | គ្រឿងសង្ហារឹម | 140.00 | 15 | furniture-2.jpg
ទូរសៀវភៅ | គ្រឿងសង្ហារឹម | 14.99 | 20 | furniture-3.jpg
កៅអីបន្ទប់ទទួលភ្ញៀវ | គ្រឿងសង្ហារឹម | 95.00 | 25 | furniture-4.jpg
គ្រឿងភោគ | គ្រឿងសង្ហារឹម | 42.00 | 30 | furniture-5.jpg
ឈើដាក់ទូឡាក់ | គ្រឿងសង្ហារឹម | 65.00 | 35 | furniture-6.jpg
បន្ទប់ទូររាង | គ្រឿងសង្ហារឹម | 30.00 | 40 | furniture-7.jpg
តុការិយាល័យ | គ្រឿងសង្ហារឹម | 39.00 | 45 | furniture-8.jpg
កញ្ចប់កំសាន្ត | គ្រឿងសង្ហារឹម | 22.00 | 50 | furniture-9.jpg
ដុំពងមាន់ | គ្រឿងសង្ហារឹម | 18.99 | 55 | furniture-10.jpg
ចំណុចបោះ | ក្មេងលេង | 120.00 | 10 | toys-1.jpg
កុងតាក់អេឡិចត្រូនិច | ក្មេងលេង | 8.50 | 15 | toys-2.jpg
កូនកូនកង់ | ក្មេងលេង | 249.99 | 20 | toys-3.jpg
រថយន្តប្លាស្ទិក | ក្មេងលេង | 32.00 | 25 | toys-4.jpg
បន្ទះរឹងឆ្កែ | ក្មេងលេង | 22.50 | 30 | toys-5.jpg
